"Gene" "gene_type" 
"Rv0001" FALSE
"Rv0003" FALSE
"Rv0004" FALSE
"Rv0005" FALSE
"Rv0006" FALSE
"Rv0007" FALSE
"Rv0008c" FALSE
"Rv0009" FALSE
"Rv0010c" FALSE
"Rv0011c" FALSE
"Rv0012" FALSE
"Rv0013" FALSE
"Rv0015c" FALSE
"Rv0016c" FALSE
"Rv0017c" FALSE
"Rv0018c" FALSE
"Rv0019c" FALSE
"Rv0020c" FALSE
"Rv0021c" FALSE
"Rv0022c" FALSE
"Rv0023" FALSE
"Rv0024" FALSE
"Rv0025" FALSE
"Rv0026" FALSE
"Rv0027" FALSE
"Rv0028" FALSE
"Rv0029" FALSE
"Rv0030" FALSE
"Rv0032" FALSE
"Rv0033" FALSE
"Rv0034" FALSE
"Rv0035" FALSE
"Rv0036c" FALSE
"Rv0037c" FALSE
"Rv0038" FALSE
"Rv0039c" FALSE
"Rv0040c" FALSE
"Rv0041" FALSE
"Rv0042c" FALSE
"Rv0043c" FALSE
"Rv0044c" FALSE
"Rv0045c" FALSE
"Rv0047c" FALSE
"Rv0048c" FALSE
"Rv0049" FALSE
"Rv0050" FALSE
"Rv0051" FALSE
"Rv0052" FALSE
"Rv0053" FALSE
"Rv0055" FALSE
"Rv0056" FALSE
"Rv0057" FALSE
"Rv0059" FALSE
"Rv0060" FALSE
"Rv0061" FALSE
"Rv0062" FALSE
"Rv0063" FALSE
"Rv0064" FALSE
"Rv0065" FALSE
"Rv0066c" FALSE
"Rv0067c" FALSE
"Rv0068" FALSE
"Rv0069c" FALSE
"Rv0070c" FALSE
"Rv0071" FALSE
"Rv0072" FALSE
"Rv0073" FALSE
"Rv0074" FALSE
"Rv0075" FALSE
"Rv0076c" FALSE
"Rv0077c" FALSE
"Rv0078" FALSE
"Rv0078A" FALSE
"Rv0079" FALSE
"Rv0080" FALSE
"Rv0081" FALSE
"Rv0082" FALSE
"Rv0083" FALSE
"Rv0084" FALSE
"Rv0085" FALSE
"Rv0086" FALSE
"Rv0087" FALSE
"Rv0088" FALSE
"Rv0089" FALSE
"Rv0090" FALSE
"Rv0091" FALSE
"Rv0092" FALSE
